Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate,is_destroyed,aircraft_type
1979-09-17,"BOSTON, MA",United States,Airplane,MCDONNELL DOUGLAS,DC9,Non-Fatal,Substantial,2.0,Turbo Fan,,,1.0,,,,,,0,MCDONNELL DOUGLAS_DC9
1982-01-01,"PULLMAN, WA",United States,Airplane,CESSNA,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_140
1982-01-01,"EAST HANOVER, NJ",United States,Airplane,CESSNA,401B,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_401B
1982-01-02,"HOMER, LA",United States,Airplane,BELLANCA,17-30A,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1,BELLANCA_17-30A
1982-01-02,"HEARNE, TX",United States,Airplane,CESSNA,R172K,Fatal(1),Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1,CESSNA_R172K
1982-01-02,"LITTLE ROCK, AR",United States,Airplane,BEECH,19,Fatal(2),Destroyed,1.0,Reciprocating,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0,1,BEECH_19
1982-01-02,"MIDWAY, UT",United States,Helicopter,ENSTROM,280C,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,ENSTROM_280C
1982-01-02,"SKWENTA, AK",United States,Airplane,CESSNA,180,Fatal(3),Destroyed,1.0,Reciprocating,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0,1,CESSNA_180
1982-01-02,"GALETON, PA",United States,Airplane,CESSNA,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_172
1982-01-02,"YPSILANTI, MI",United States,Airplane,CESSNA,152,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_152
1982-01-02,"CHARLOTTE, MI",United States,Airplane,CESSNA,150L,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_150L
1982-01-02,"CHAMBLEE, GA",United States,Helicopter,BELL,206L-1,Non-Fatal,Substantial,1.0,Turbo Shaft,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BELL_206L-1
1982-01-03,"VAN NUYS, CA",United States,Airplane,PIPER,PA-24-180,Incident,Minor,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,PIPER_PA-24-180
1982-01-03,"10 NM W LEE VIN, CA",United States,Airplane,GRUMMAN,AA-5B,Fatal(2),Destroyed,1.0,Reciprocating,2.0,1.0,0.0,3.0,3.0,4.0,0.5,0.25,1,GRUMMAN_AA-5B
1982-01-03,"ASHLAND, VA",United States,Airplane,CESSNA,414A,Fatal(8),Destroyed,2.0,Reciprocating,8.0,0.0,0.0,8.0,8.0,9.0,0.8888888888888888,0.0,1,CESSNA_414A
1982-01-03,"WHITE PLAINS, NY",United States,Airplane,MAULE,M-5-235C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,MAULE_M-5-235C
1982-01-03,"COCOA, FL",United States,Airplane,CESSNA,210L,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,CESSNA_210L
1982-01-03,"SAN CLEMENTINE, CA",United States,Airplane,BELLANCA,7GCBC,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0,BELLANCA_7GCBC
1982-01-03,"FORT WORTH, TX",United States,Airplane,CESSNA,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0,CESSNA_182
1982-01-03,"GREENOUGH, MT",United States,Airplane,AIR TRACTOR,AT-301,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,AIR TRACTOR_AT-301
1982-01-04,"PLEASANT HILL, OR",United States,Airplane,PIPER,PA-28-161,Fatal(4),Destroyed,1.0,Reciprocating,4.0,0.0,0.0,4.0,4.0,5.0,0.8,0.0,1,PIPER_PA-28-161
1982-01-04,"NEAR LAS VEGAS, NV",United States,Airplane,PIPER,PA-34-200T,Fatal(2),Destroyed,2.0,Reciprocating,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0,1,PIPER_PA-34-200T
1982-01-04,"FORT WAYNE, IN",United States,Airplane,CESSNA,T337G,Fatal(2),Destroyed,2.0,Reciprocating,2.0,2.0,0.0,4.0,4.0,5.0,0.4,0.4,1,CESSNA_T337G
1982-01-04,"ESTANCIA, NM",United States,Airplane,PIPER,PA-28R-200,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0,PIPER_PA-28R-200
1982-01-05,"BLACK CANYON CI, AZ",United States,Airplane,PIPER,PA-22,Fatal(1),Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1,PIPER_PA-22
