Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries
1979-09-17 00:00:00,"BOSTON, MA",United States,Airplane,Mcdonnell Douglas,DC9,Non-Fatal,Substantial,2.0,Turbo Fan,,,1.0
1982-01-01 00:00:00,"PULLMAN, WA",United States,Airplane,Cessna,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-01 00:00:00,"EAST HANOVER, NJ",United States,Airplane,Cessna,401B,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"HOMER, LA",United States,Airplane,Bellanca,17-30A,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,1.0
1982-01-02 00:00:00,"HEARNE, TX",United States,Airplane,Cessna,R172K,Fatal(1),Destroyed,1.0,Reciprocating,1.0,0.0,0.0
1982-01-02 00:00:00,"CHICKASHA, OK",United States,Airplane,Navion,A,Fatal(1),Destroyed,1.0,Reciprocating,1.0,0.0,0.0
1982-01-02 00:00:00,"LITTLE ROCK, AR",United States,Airplane,Beech,19,Fatal(2),Destroyed,1.0,Reciprocating,2.0,0.0,0.0
1982-01-02 00:00:00,"MIDWAY, UT",United States,Helicopter,Enstrom,280C,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"SKWENTA, AK",United States,Airplane,Cessna,180,Fatal(3),Destroyed,1.0,Reciprocating,3.0,0.0,0.0
1982-01-02 00:00:00,"GALETON, PA",United States,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"MIAMI, FL",United States,Helicopter,Smith,WCS-222 (BELL 47G),Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"YPSILANTI, MI",United States,Airplane,Cessna,152,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"CHARLOTTE, MI",United States,Airplane,Cessna,150L,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-02 00:00:00,"CHAMBLEE, GA",United States,Helicopter,Bell,206L-1,Non-Fatal,Substantial,1.0,Turbo Shaft,0.0,0.0,0.0
1982-01-03 00:00:00,"VAN NUYS, CA",United States,Airplane,Piper,PA-24-180,Incident,Minor,1.0,Reciprocating,0.0,0.0,0.0
1982-01-03 00:00:00,"10 NM W LEE VIN, CA",United States,Airplane,Grumman,AA-5B,Fatal(2),Destroyed,1.0,Reciprocating,2.0,1.0,0.0
1982-01-03 00:00:00,"ASHLAND, VA",United States,Airplane,Cessna,414A,Fatal(8),Destroyed,2.0,Reciprocating,8.0,0.0,0.0
1982-01-03 00:00:00,"PINEHURST, NC",United States,Airplane,Beechcraft,BE-58,Fatal(1),Destroyed,2.0,Reciprocating,1.0,0.0,0.0
1982-01-03 00:00:00,"WHITE PLAINS, NY",United States,Airplane,Maule,M-5-235C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-03 00:00:00,"COCOA, FL",United States,Airplane,Cessna,210L,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
1982-01-03 00:00:00,"SAN CLEMENTINE, CA",United States,Airplane,Bellanca,7GCBC,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0
1982-01-03 00:00:00,"FORT WORTH, TX",United States,Airplane,Cessna,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0
1982-01-03 00:00:00,"GREENOUGH, MT",United States,Airplane,Air Tractor,AT-301,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
1982-01-04 00:00:00,"PLEASANT HILL, OR",United States,Airplane,Piper,PA-28-161,Fatal(4),Destroyed,1.0,Reciprocating,4.0,0.0,0.0
1982-01-04 00:00:00,"NEAR LAS VEGAS, NV",United States,Airplane,Piper,PA-34-200T,Fatal(2),Destroyed,2.0,Reciprocating,2.0,0.0,0.0
1982-01-04 00:00:00,"FORT WAYNE, IN",United States,Airplane,Cessna,T337G,Fatal(2),Destroyed,2.0,Reciprocating,2.0,2.0,0.0
1982-01-04 00:00:00,"ESTANCIA, NM",United States,Airplane,Piper,PA-28R-200,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0
1982-01-05 00:00:00,"RAMONA, CA",United States,Airplane,Navion,A,Fatal(3),Destroyed,1.0,Reciprocating,3.0,0.0,0.0
1982-01-05 00:00:00,"BLACK CANYON CI, AZ",United States,Airplane,Piper,PA-22,Fatal(1),Destroyed,1.0,Reciprocating,1.0,0.0,0.0
